UMCSENT
76.1
83.2
87.3
82.5
77.4
84
93
92.2
90.7
93.1
94.3
91.7
93.2
89.8
90.5
91.5
94.9
97.5
99
103
105.8
105
107.8
106.9
103.5
100.2
105.9
106.2
105.9
105.3
110.1
108.8
107.5
103.9
92.3
91
88.6
85.1
93.1
94.1
87.3
83.8
80
89.3
89.3
92
98
93.3
95.6
93.9
94.1
90.2
87.5
82.4
88.9
83.8
84
92.5
92.2
86.9
85.7
77.5
72.9
59.6
64.8
57.7
58.3
68.2
68.4
70.2
73.9
73.9
68.3
71.3
73.1
71.9
59.7
64.8
75.5
76.3
75
79.4
76.7
81.7
81.6
76.9
80.9
82.8
83
89.8
95.5
94.2
90.7
91.3
91.6
