DGS10
6.62
6.74
6.26
5.99
5.62
5.62
6.09
7.09
7.33
7.84
7.47
6.6
6.33
5.9
5.91
6.71
6.78
6.35
6.57
6.7
6.24
5.91
5.59
5.59
5.21
4.66
5
5.54
5.88
6.14
6.47
6.18
5.89
5.57
5.04
5.28
5
4.76
5.08
5.11
4.27
4
3.92
3.62
4.23
4.29
4.01
4.6
4.3
4.18
4.3
4.16
4.22
4.49
4.58
5.07
4.89
4.63
4.68
4.85
4.74
4.27
3.67
3.88
3.86
3.23
2.74
3.32
3.52
3.46
3.72
3.49
2.78
2.88
3.46
3.2
2.41
2.05
2.04
1.83
1.64
1.71
1.95
1.99
2.71
2.74
2.77
2.62
2.5
2.28
1.97
2.16
2.22
2.19
1.91
